Country;ID;Annual area of forest loss due to fire, km2;;;;;;;;;;;;;;;;;;;;% from total loss
;;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;total;
Niue;162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Norfolk Island;163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
North Korea;164;72;25;21;52;87;39;48;77;61;66;30;41;5;38;77;29;14;14;171;966;39
Northern Mariana Islands;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Norway;166;18;17;9;20;10;40;15;21;13;21;14;21;13;9;3;9;11;7;13;281;4
Oman;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
Pakistan;168;1;2;3;7;7;9;8;6;7;5;3;1;0;0;0;0;2;0;0;62;62
Palau;169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
Palestina;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39
Panama;171;7;11;5;5;4;12;14;12;14;6;7;10;7;6;4;33;20;24;41;243;6
Papua New Guinea;172;21;35;13;39;40;28;31;30;27;37;25;31;29;47;447;575;67;61;45;1?627;11
Paraguay;173;104;213;207;207;171;75;283;121;106;130;104;116;212;98;37;130;578;48;1?236;4?175;7
Peru;174;62;51;51;70;170;93;74;70;95;111;90;203;85;100;89;225;468;166;219;2?492;8
Philippines;175;10;9;11;13;13;14;16;12;13;21;8;14;23;33;15;52;40;30;28;376;3
Pitcairn Islands;176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Poland;177;6;6;5;7;10;5;7;8;5;18;9;16;5;7;1;9;9;5;5;143;1
Portugal;178;56;104;109;230;169;167;51;24;70;133;57;285;238;157;137;453;1?687;540;116;4?782;40
Puerto Rico;179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;3;0;44;6
Qatar;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Republic of Congo;181;7;3;2;4;6;3;5;1;2;11;5;7;21;9;24;346;21;31;27;536;7
Reunion;182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Romania;183;10;8;4;14;8;2;27;5;5;5;3;18;5;3;0;6;1;1;0;129;4
Russia;184;14?175;24?969;27?628;29?324;8?163;16?776;15?264;23?357;13?932;10?548;24?184;47?319;46?049;41?632;16?674;44?228;39?157;43?601;32?117;519?097;73
